time,open,high,low,close,Volume,Volume MA
1262296800,0.89775,0.898,0.8975,0.89775,5,NaN
1262556000,0.89856,0.89982,0.89389,0.89517,2883,NaN
1262570400,0.89517,0.89854,0.89498,0.89788,1621,NaN
1262584800,0.89788,0.9055,0.89683,0.90545,3485,NaN
1262599200,0.90545,0.90854,0.90422,0.9081,2757,NaN
1262613600,0.9081,0.91367,0.90775,0.91216,3364,NaN
1262628000,0.91216,0.913635,0.91125,0.912655,1339,NaN
1262642400,0.912655,0.91634,0.91173,0.91315,2436,NaN
1262656800,0.91315,0.91556,0.91158,0.91444,2362,NaN
1262671200,0.91444,0.91577,0.90992,0.91524,4357,NaN
1262685600,0.91524,0.91742,0.91314,0.91345,2740,NaN
1262700000,0.91345,0.91531,0.91129,0.91258,3647,NaN
1262714400,0.91258,0.91267,0.90927,0.911835,1577,NaN
1262728800,0.911835,0.91384,0.910305,0.91363,2176,NaN
1262743200,0.91363,0.91435,0.91257,0.91423,1564,NaN
1262757600,0.91423,0.91512,0.90989,0.91443,3868,NaN
1262772000,0.91443,0.916685,0.9128,0.915715,2634,NaN
1262786400,0.915715,0.920055,0.915055,0.918615,4020,NaN
1262800800,0.918615,0.921715,0.917095,0.919715,2478,NaN
1262815200,0.919715,0.92666,0.918395,0.92387,2856,2608.45
1262829600,0.92387,0.92395,0.919925,0.920895,2350,2725.7
1262844000,0.920895,0.921865,0.918285,0.918715,4495,2806.3
1262858400,0.918715,0.919155,0.915965,0.919155,3444,2897.45
1262872800,0.919155,0.919885,0.916175,0.918105,3768,2911.6
1262887200,0.918105,0.918765,0.916405,0.917405,1408,2844.15
1262901600,0.917405,0.91843,0.916375,0.91662,1886,2770.25
1262916000,0.91662,0.91733,0.912355,0.912895,2609,2833.75
1262930400,0.912895,0.91689,0.912695,0.91631,2828,2853.35
1262944800,0.91631,0.9233,0.91336,0.92186,4341,2952.3
1262959200,0.92186,0.92389,0.91728,0.92311,4901,2979.5
1262973600,0.92311,0.92537,0.92309,0.92471,1697,2927.35
1263160800,0.929105,0.93139,0.92752,0.92986,2607,2875.35
1263175200,0.92986,0.93182,0.92873,0.93122,1976,2895.3
1263189600,0.93122,0.931915,0.92905,0.931605,2994,2936.2
1263204000,0.931605,0.932515,0.930595,0.932165,1990,2957.5
1263218400,0.932165,0.932165,0.928445,0.928645,4122,2970.2
1263232800,0.928645,0.931995,0.928615,0.929635,1859,2931.45
1263247200,0.929635,0.93038,0.92629,0.92684,2176,2839.25
1263261600,0.92684,0.92903,0.92358,0.92895,2862,2858.45
1263276000,0.92895,0.93061,0.92464,0.92747,3536,2892.45
1263290400,0.92747,0.92765,0.92062,0.922395,5111,3030.5
1263304800,0.922395,0.926555,0.919685,0.920205,4876,3049.55
1263319200,0.920205,0.921455,0.917145,0.919985,2578,3006.25
1263333600,0.919985,0.92311,0.91898,0.92254,2627,2949.2
1263348000,0.92254,0.92398,0.9217,0.92278,1946,2976.1
1263362400,0.92278,0.926695,0.92199,0.925355,3363,3049.95
1263376800,0.925355,0.926735,0.922895,0.926465,3359,3087.45
1263391200,0.926465,0.926545,0.919955,0.92303,5543,3223.2
1263405600,0.92303,0.924575,0.92154,0.924135,2020,3107.15
1263420000,0.924135,0.92981,0.92164,0.92968,2957,3009.95
1263434400,0.92968,0.93076,0.92922,0.93068,1792,3014.7
1263448800,0.93068,0.932995,0.92861,0.929425,3877,3078.2
1263463200,0.929425,0.930965,0.928235,0.929465,3700,3164.4
1263477600,0.929465,0.932065,0.928905,0.930575,4116,3220.5
1263492000,0.930575,0.931925,0.930345,0.931735,1453,3193.65
1263506400,0.931735,0.931875,0.92591,0.92791,1615,3068.3
1263520800,0.92791,0.92901,0.92552,0.92791,2308,3090.75
1263535200,0.92791,0.92823,0.923675,0.926425,3807,3172.3
1263549600,0.926425,0.926785,0.923375,0.924805,3689,3213.65
1263564000,0.924805,0.927185,0.921575,0.922815,4460,3259.85
1263578400,0.922815,0.92423,0.921545,0.92271,1381,3073.35
1263765600,0.92086,0.922415,0.91749,0.91834,2580,2958.55
1263780000,0.91834,0.92285,0.91821,0.92161,1904,2924.85
1263794400,0.92161,0.92489,0.92049,0.92467,2442,2915.6
1263808800,0.92467,0.92686,0.92467,0.92656,1619,2899.25
1263823200,0.92656,0.92796,0.92636,0.92689,1279,2795.05
1263837600,0.92689,0.92726,0.926105,0.92628,505,2652.35
1263852000,0.92628,0.92744,0.92528,0.92715,1646,2457.5
1263866400,0.92715,0.92728,0.922605,0.923705,2177,2465.35
1263880800,0.923705,0.926475,0.921835,0.922635,2626,2448.8
1263895200,0.922635,0.923585,0.917565,0.91986,4599,2589.15
1263909600,0.91986,0.925355,0.918505,0.925095,3914,2591
1263924000,0.925095,0.925425,0.922675,0.923165,1554,2483.7
