time,open,high,low,close,Volume,Volume MA
1609711200,0.76926,0.77068,0.76926,0.76979,34,NaN
1609713000,0.76979,0.77024,0.76947,0.76962,38,NaN
1609714800,0.76962,0.77079,0.76916,0.77079,445,NaN
1609716600,0.77079,0.77142,0.7706,0.77112,347,NaN
1609718400,0.77112,0.77144,0.7695,0.7695,458,NaN
1609720200,0.7695,0.7695,0.76816,0.76868,407,NaN
1609722000,0.76868,0.77056,0.76868,0.77042,640,NaN
1609723800,0.77042,0.77171,0.77002,0.77168,723,NaN
1609725600,0.77168,0.77214,0.77114,0.7715,626,NaN
1609727400,0.7715,0.77188,0.77104,0.77144,429,NaN
1609729200,0.77144,0.77184,0.77124,0.77176,298,NaN
1609731000,0.77176,0.7719,0.77136,0.7717,278,NaN
1609732800,0.7717,0.77174,0.77096,0.77096,203,NaN
1609734600,0.77096,0.77104,0.76996,0.77024,247,NaN
1609736400,0.77024,0.77032,0.769,0.76944,278,NaN
1609738200,0.76944,0.7709,0.76944,0.77072,322,NaN
1609740000,0.77072,0.77111,0.77058,0.77076,489,NaN
1609741800,0.77076,0.77158,0.77072,0.77146,331,NaN
1609743600,0.77146,0.77268,0.7714,0.77235,271,NaN
1609745400,0.77235,0.7734,0.77196,0.77235,379,362.15
1609747200,0.77235,0.77278,0.77196,0.77238,552,388.05
1609749000,0.77238,0.77364,0.77227,0.77364,361,404.2
1609750800,0.77364,0.774,0.77342,0.77375,247,394.3
1609752600,0.77375,0.77382,0.77289,0.77328,293,391.6
1609754400,0.77328,0.77408,0.77324,0.77364,275,382.45
1609756200,0.77364,0.77374,0.77316,0.77336,235,373.85
1609758000,0.77336,0.77378,0.77286,0.77307,244,354.05
1609759800,0.77307,0.7731,0.77226,0.77228,223,329.05
1609761600,0.77228,0.77232,0.7714,0.77222,242,309.85
1609763400,0.77222,0.77244,0.77147,0.77157,260,301.4
1609765200,0.77157,0.77205,0.77134,0.77158,288,300.9
1609767000,0.77158,0.77267,0.77158,0.77182,367,305.35
1609768800,0.77182,0.77226,0.77102,0.77171,493,319.85
1609770600,0.77171,0.77184,0.7704,0.77056,814,348.2
1609772400,0.77056,0.77079,0.7683,0.76839,602,364.4
1609774200,0.76839,0.7689,0.76804,0.76846,679,382.25
1609776000,0.76846,0.76846,0.76736,0.76806,717,393.65
1609777800,0.76806,0.76828,0.76544,0.76551,596,406.9
1609779600,0.76551,0.76605,0.76426,0.76562,678,427.25
1609781400,0.76562,0.76612,0.76482,0.76608,622,439.4
1609783200,0.76608,0.76694,0.76583,0.76656,320,427.8
1609785000,0.76656,0.76703,0.7663,0.76703,259,422.7
1609786800,0.76703,0.7671,0.76632,0.7668,270,423.85
1609788600,0.7668,0.76712,0.76628,0.76709,308,424.6
1609790400,0.76709,0.7671,0.76594,0.76601,427,432.2
1609792200,0.76601,0.76642,0.76551,0.76642,340,437.45
1609794000,0.76642,0.76666,0.76594,0.7663,121,431.3
1609795800,0.7663,0.76674,0.76626,0.76666,76,423.95
1609797600,0.76666,0.76744,0.76626,0.76696,82,415.95
1609799400,0.76696,0.76734,0.76674,0.76688,84,407.15
1609801200,0.76688,0.76696,0.76622,0.76622,269,406.2
1609803000,0.76622,0.767,0.76622,0.76698,335,404.6
1609804800,0.76698,0.76704,0.76609,0.76686,351,397.5
1609806600,0.76686,0.76753,0.76675,0.7671,330,373.3
1609808400,0.7671,0.76836,0.76684,0.76829,473,366.85
1609810200,0.76829,0.76834,0.76754,0.76754,416,353.7
1609812000,0.76754,0.76934,0.76754,0.76928,382,336.95
1609813800,0.76928,0.76985,0.76895,0.76972,389,326.6
1609815600,0.76972,0.77093,0.76957,0.77063,405,312.95
1609817400,0.77063,0.77088,0.76972,0.76994,353,299.5
1609819200,0.76994,0.77018,0.76907,0.76928,371,302.05
1609821000,0.76928,0.77014,0.76928,0.76981,244,301.3
1609822800,0.76981,0.77084,0.76981,0.77069,245,300.05
1609824600,0.77069,0.77134,0.77004,0.77107,390,304.15
1609826400,0.77107,0.77142,0.77026,0.77042,315,298.55
1609828200,0.77042,0.77174,0.77042,0.77152,350,299.05
1609830000,0.77152,0.77242,0.77064,0.77239,407,313.35
1609831800,0.77239,0.77242,0.77,0.77029,435,331.3
1609833600,0.77029,0.77192,0.77029,0.77118,655,359.95
1609835400,0.77118,0.77148,0.77044,0.77133,399,375.7
1609837200,0.77133,0.77232,0.77104,0.77229,354,379.95
1609839000,0.77229,0.7725,0.77134,0.77147,335,379.95
1609840800,0.77147,0.77201,0.77137,0.7718,252,375
1609842600,0.7718,0.77192,0.77144,0.77166,193,368.15
1609844400,0.77166,0.77222,0.77107,0.77144,265,357.75
